ID1_G,ID2_G,ID_T_G,ID_R_G,RESULT_G,DATE_G
1672,12190,8881,2,7-6(1) 6-2,2012-01-01 00:00:00
8867,7757,8881,2,6-4 7-5,2012-01-01 00:00:00
7970,6207,8881,2,6-1 6-3,2012-01-01 00:00:00
9094,19790,8881,2,6-3 6-2,2012-01-01 00:00:00
1181,12430,8881,2,6-3 7-6(3),2012-01-01 00:00:00
7636,6954,8882,2,6-3 6-4,2012-01-01 00:00:00
778,575,8882,2,6-3 7-6(4),2012-01-01 00:00:00
9831,12525,8882,2,4-6 6-2 6-2,2012-01-01 00:00:00
7452,1718,8882,4,7-6(3) 6-2,2012-01-01 00:00:00
1569,884,8881,2,7-6(2) 7-6(2),2012-01-01 00:00:00
5129,10995,8880,2,6-3 1-6 6-3,2012-01-01 00:00:00
4236,1288,8880,2,6-2 7-5,2012-01-01 00:00:00
661,11701,8880,2,6-1 3-6 6-4,2012-01-01 00:00:00
47,7456,8880,2,6-3 7-6(4),2012-01-01 00:00:00
672,7,8879,8,6-3 3-6 7-5,2012-01-01 00:00:00
6080,5127,8880,2,7-5 7-5,2012-01-01 00:00:00
1837,469,8880,2,6-1 7-5,2012-01-01 00:00:00
4149,1621,8880,2,6-3 7-5,2012-01-01 00:00:00
5929,7772,8880,2,7-6(7) 6-3,2012-01-01 00:00:00
1162,9839,8882,3,6-4 2-6 7-5,2012-01-02 00:00:00
3492,854,8882,4,7-6(5) 2-3 ret.,2012-01-02 00:00:00
7461,3996,8882,3,7-5 6-4,2012-01-02 00:00:00
8313,7636,8882,3,4-6 6-4 6-4,2012-01-02 00:00:00
9831,778,8882,3,7-6(4) 6-7(3) 7-6(4),2012-01-02 00:00:00
17108,24408,8882,4,6-1 7-6(2),2012-01-02 00:00:00
685,642,8882,4,6-7(3) 7-6(4) 6-3,2012-01-02 00:00:00
19793,17157,8882,4,6-4 7-6(3),2012-01-02 00:00:00
11522,650,8882,4,6-2 4-6 7-5,2012-01-02 00:00:00
4010,8152,8882,4,6-3 6-4,2012-01-02 00:00:00
7393,779,8881,3,7-6(0) 6-1,2012-01-02 00:00:00
7970,8867,8881,3,6-2 6-4,2012-01-02 00:00:00
9094,1181,8881,3,6-1 6-7(2) 6-3,2012-01-02 00:00:00
831,11953,8879,8,6-4 6-7(9) 6-3,2012-01-02 00:00:00
5129,4236,8880,3,6-4 4-6 6-4,2012-01-02 00:00:00
661,47,8880,3,7-5 6-4,2012-01-02 00:00:00
1837,6080,8880,3,6-3 6-4,2012-01-02 00:00:00
4149,5929,8880,3,6-2 6-1,2012-01-02 00:00:00
791,749,8880,4,6-2 6-3,2012-01-02 00:00:00
1569,1672,8881,3,6-4 7-6(5),2012-01-02 00:00:00
12495,693,8881,4,6-2 6-3,2012-01-02 00:00:00
1576,4067,8881,4,6-0 6-1,2012-01-02 00:00:00
4009,12661,8882,4,7-6(7) 6-4,2012-01-02 00:00:00
553,970,8879,8,4-6 7-6(5) 6-4,2012-01-02 00:00:00
11748,25097,8880,4,6-1 7-5,2012-01-02 00:00:00
17731,20612,8880,4,6-2 3-6 10-6,2012-01-02 00:00:00
7295,4146,8880,4,6-4 7-6(4),2012-01-02 00:00:00
6691,609,8880,4,7-5 6-2,2012-01-02 00:00:00
3682,25095,8880,4,6-0 6-0,2012-01-02 00:00:00
5554,25090,8881,4,6-2 6-1,2012-01-02 00:00:00
4964,5069,8881,4,4-6 7-6(8) 6-1,2012-01-02 00:00:00
12043,5083,8881,4,6-2 6-1,2012-01-02 00:00:00
14006,17263,8880,4,2-6 6-4 12-10,2012-01-02 00:00:00
638,619,8880,4,5-7 6-4 6-2,2012-01-02 00:00:00
2904,516,8880,4,6-4 7-5,2012-01-02 00:00:00
20156,16414,8882,4,6-4 6-4,2012-01-03 00:00:00
8806,13796,8882,4,3-6 6-1 6-4,2012-01-03 00:00:00
8313,17675,8882,4,6-4 6-2,2012-01-03 00:00:00
558,7461,8882,4,7-6(4) 6-2,2012-01-03 00:00:00
5961,9831,8882,4,6-3 6-3,2012-01-03 00:00:00
9840,9373,8952,4,7-6(15) 6-3,2012-01-03 00:00:00
5997,10400,8952,4,6-1 6-2,2012-01-03 00:00:00
3992,2379,8952,4,6-3 1-6 6-3,2012-01-03 00:00:00
427,9521,8882,4,6-4 3-6 6-3,2012-01-03 00:00:00
25084,14074,8882,4,7-5 6-7(3) 10-4,2012-01-03 00:00:00
22,6228,8882,4,6-3 7-5,2012-01-03 00:00:00
1162,7806,8882,4,7-6(6) 6-2,2012-01-03 00:00:00
760,520,8882,4,6-1 7-5,2012-01-03 00:00:00
1672,587,8881,4,6-4 6-3,2012-01-03 00:00:00
22347,25083,8882,4,1-6 6-3 12-10,2012-01-03 00:00:00
1075,9043,8882,4,5-7 6-3 6-2,2012-01-03 00:00:00
22755,25085,8882,4,6-2 6-4,2012-01-03 00:00:00
1569,4964,8881,5,7-6(6) 6-3,2012-01-04 00:00:00
5554,20406,8881,9,6-3 6-3,2012-01-04 00:00:00
12653,10975,8951,4,6-7(5) 7-6(7) 6-1,2012-01-04 00:00:00
6691,638,8880,5,w/o,2012-01-04 00:00:00
25099,11748,8880,9,6-3 7-5,2012-01-04 00:00:00
15237,17731,8880,9,6-3 7-5,2012-01-04 00:00:00
12702,23357,8881,4,5-7 6-3 10-5,2012-01-04 00:00:00
5917,2904,8880,5,7-5 4-6 7-5,2012-01-04 00:00:00
25084,22755,8882,9,6-2 7-5,2012-01-05 00:00:00
20156,17613,8882,9,7-5 6-3,2012-01-05 00:00:00
14006,25096,8880,9,w/o,2012-01-04 00:00:00
19793,25086,8882,9,3-6 6-3 15-13,2012-01-05 00:00:00
4010,5961,8882,9,7-6(2) 6-4,2012-01-05 00:00:00
3316,453,8952,9,7-6(5) 7-6(4),2012-01-05 00:00:00
717,7805,8952,9,6-1 6-4,2012-01-05 00:00:00
9840,3992,8952,9,6-2 6-1,2012-01-05 00:00:00
7043,7042,8952,9,7-6(4) 6-1,2012-01-05 00:00:00
22347,17108,8882,9,w/o,2012-01-05 00:00:00
674,672,8879,8,6-2 6-4,2012-01-05 00:00:00
7,12921,8879,8,6-4 7-5,2012-01-05 00:00:00
3985,6691,8880,9,6-2 6-1,2012-01-05 00:00:00
15237,25103,8880,10,6-2 3-6 13-11,2012-01-05 00:00:00
11226,882,8881,5,4-6 6-4 6-2,2012-01-05 00:00:00
7393,762,8881,5,7-6(5) 6-4,2012-01-05 00:00:00
21065,21097,8881,9,6-3 4-6 10-7,2012-01-05 00:00:00
7452,427,8882,9,4-6 6-3 6-3,2012-01-05 00:00:00
6458,9941,8951,5,4-6 6-3 6-4,2012-01-05 00:00:00
10231,2681,8951,5,6-3 6-2,2012-01-05 00:00:00
11940,2179,8951,5,7-5 6-4,2012-01-05 00:00:00
13764,845,8951,5,6-4 3-0 ret.,2012-01-05 00:00:00
19,791,8880,9,6-3 5-7 6-4,2012-01-05 00:00:00
728,12495,8881,5,6-1 6-3,2012-01-05 00:00:00
12702,25089,8881,9,6-4 7-6(3),2012-01-05 00:00:00
643,12653,8951,5,7-5 6-4,2012-01-05 00:00:00
11005,19812,8951,5,4-6 6-3 6-4,2012-01-05 00:00:00
4045,5838,8881,5,w/o,2012-01-05 00:00:00
677,75,8880,9,6-4 6-4,2012-01-05 00:00:00
5917,7295,8880,9,6-2 6-3,2012-01-05 00:00:00
14006,25099,8880,10,6-3 6-2,2012-01-05 00:00:00
25092,22367,8881,9,6-3 6-4,2012-01-05 00:00:00
13048,13607,8951,5,7-5 4-6 7-6(6),2012-01-05 00:00:00
1075,4009,8882,9,6-2 6-2,2012-01-06 00:00:00
11522,3492,8882,9,6-3 7-6(4),2012-01-06 00:00:00
19793,25084,8882,10,7-6(1) 6-3,2012-01-06 00:00:00
3316,717,8952,10,7-6(4) 6-3,2012-01-06 00:00:00
7043,9840,8952,10,7-5 7-6(4),2012-01-06 00:00:00
831,970,8879,8,6-1 6-3,2012-01-06 00:00:00
3985,19,8880,10,w/o,2012-01-06 00:00:00
1569,1092,8881,9,6-4 6-4,2012-01-06 00:00:00
11704,1576,8881,9,7-6(4) 6-3,2012-01-06 00:00:00
11940,13048,8951,9,6-3 6-0,2012-01-06 00:00:00
643,13764,8951,9,6-2 6-3,2012-01-06 00:00:00
11953,553,8879,8,6-2 6-1,2012-01-06 00:00:00
5917,677,8880,10,6-3 6-4,2012-01-06 00:00:00
4045,7393,8881,9,4-6 7-6(8) 6-4,2012-01-06 00:00:00
15237,14006,8880,12,6-3 6-4,2012-01-06 00:00:00
728,11226,8881,9,6-2 3-6 6-2,2012-01-06 00:00:00
10231,6458,8951,9,6-4 3-6 7-5,2012-01-06 00:00:00
4178,13796,8883,1,6-4 6-3,2012-01-07 00:00:00
9043,6228,8883,1,1-6 7-6(5) 6-2,2012-01-07 00:00:00
674,7,8879,8,6-2 5-7 6-1,2012-01-03 00:00:00
672,12921,8879,8,6-3 6-4,2012-01-03 00:00:00
661,814,8880,4,6-3 6-2,2012-01-03 00:00:00
655,1266,8880,4,6-7(1) 6-2 7-6(3),2012-01-03 00:00:00
5129,1837,8880,4,6-3 6-4,2012-01-03 00:00:00
3985,6002,8880,4,7-6(5) 6-7(5) 6-1,2012-01-03 00:00:00
882,9094,8881,4,6-3 7-6(8),2012-01-03 00:00:00
695,4061,8881,4,6-3 6-4,2012-01-03 00:00:00
7393,72,8881,4,6-3 6-4,2012-01-03 00:00:00
762,7970,8881,4,6-3 6-3,2012-01-03 00:00:00
11940,14814,8951,4,6-4 6-2,2012-01-03 00:00:00
677,678,8880,4,6-3 6-7(2) 6-3,2012-01-03 00:00:00
25099,25098,8880,4,6-4 5-7 10-6,2012-01-03 00:00:00
75,6848,8880,4,6-4 6-7(4) 6-2,2012-01-03 00:00:00
961,1841,8880,4,6-2 2-6 6-3,2012-01-03 00:00:00
4149,6277,8880,4,4-6 6-1 6-1,2012-01-03 00:00:00
11226,78,8881,4,4-6 6-2 6-3,2012-01-03 00:00:00
20406,5174,8881,4,6-7(4) 6-4 10-4,2012-01-03 00:00:00
1569,3685,8881,4,6-2 6-7(4) 7-5,2012-01-03 00:00:00
2179,14609,8951,4,6-3 6-2,2012-01-03 00:00:00
13048,5904,8951,4,6-3 5-7 6-2,2012-01-03 00:00:00
845,11370,8951,4,6-1 6-4,2012-01-03 00:00:00
13764,3784,8951,4,6-2 6-2,2012-01-03 00:00:00
11005,10320,8951,4,2-6 6-4 7-6(6),2012-01-03 00:00:00
19,568,8880,4,6-2 6-2,2012-01-03 00:00:00
25089,25088,8881,4,6-1 7-5,2012-01-03 00:00:00
22367,25091,8881,4,6-4 7-5,2012-01-03 00:00:00
9941,10051,8951,4,6-0 7-6(5),2012-01-03 00:00:00
2681,7732,8951,4,6-3 6-4,2012-01-03 00:00:00
10231,12582,8951,4,6-4 6-2,2012-01-03 00:00:00
643,664,8951,4,6-4 4-6 6-3,2012-01-03 00:00:00
5838,6642,8881,4,4-6 7-5 6-3,2012-01-03 00:00:00
15237,25100,8880,4,7-6(6) 7-5,2012-01-03 00:00:00
5917,1018,8880,4,7-5 6-3,2012-01-03 00:00:00
17613,12317,8882,4,6-2 6-3,2012-01-04 00:00:00
4010,11517,8882,5,6-3 7-5,2012-01-04 00:00:00
3849,10826,8951,4,5-7 6-3 7-5,2012-01-03 00:00:00
3054,10411,8951,4,6-7(4) 6-2 6-1,2012-01-03 00:00:00
2992,2468,8952,4,6-2 6-2,2012-01-04 00:00:00
3316,7826,8952,4,6-0 6-7(5) 7-5,2012-01-04 00:00:00
7805,2117,8952,4,6-3 7-5,2012-01-04 00:00:00
3742,25104,8952,4,6-0 6-1,2012-01-04 00:00:00
717,11438,8952,4,6-0 6-3,2012-01-04 00:00:00
10402,4965,8952,4,6-3 6-4,2012-01-04 00:00:00
649,1687,8952,4,6-7(4) 6-1 6-4,2012-01-04 00:00:00
8942,12,8952,4,2-6 6-4 7-5,2012-01-04 00:00:00
7042,13207,8952,4,6-2 6-1,2012-01-04 00:00:00
427,558,8882,5,7-6(3) 6-2,2012-01-04 00:00:00
453,7803,8952,4,6-4 2-6 6-4,2012-01-04 00:00:00
6820,10507,8952,4,3-6 7-5 6-1,2012-01-04 00:00:00
6276,14891,8952,4,6-4 7-5,2012-01-04 00:00:00
7043,4168,8952,4,3-6 7-6(3) 6-3,2012-01-04 00:00:00
25103,15916,8880,4,6-1 6-4,2012-01-03 00:00:00
25096,23583,8880,4,4-6 7-6(2) 10-8,2012-01-03 00:00:00
25101,25102,8880,4,6-2 6-1,2012-01-03 00:00:00
21065,25094,8881,4,7-5 6-4,2012-01-03 00:00:00
5961,760,8882,5,6-4 6-4,2012-01-04 00:00:00
7452,1162,8882,5,6-7(3) 7-6(9) 6-2,2012-01-04 00:00:00
3316,2992,8952,5,6-3 7-6(4),2012-01-04 00:00:00
7805,3742,8952,5,6-3 3-6 6-4,2012-01-04 00:00:00
717,10402,8952,5,3-6 6-3 7-6(12),2012-01-04 00:00:00
9840,5997,8952,5,6-4 6-2,2012-01-04 00:00:00
3992,649,8952,5,6-2 6-3,2012-01-04 00:00:00
4009,8806,8882,5,6-3 6-4,2012-01-04 00:00:00
11522,8313,8882,5,6-1 6-2,2012-01-04 00:00:00
453,6820,8952,5,3-6 6-2 6-3,2012-01-04 00:00:00
7042,8942,8952,5,3-6 6-2 7-5,2012-01-04 00:00:00
7043,6276,8952,5,6-4 3-6 7-6(6),2012-01-04 00:00:00
7295,5129,8880,5,7-6(6) 6-1,2012-01-04 00:00:00
3985,3682,8880,5,7-6(8) 6-3,2012-01-04 00:00:00
791,961,8880,5,7-5 6-3,2012-01-04 00:00:00
21097,25093,8881,4,6-4 6-4,2012-01-04 00:00:00
1576,12043,8881,5,4-6 6-2 6-4,2012-01-04 00:00:00
11704,695,8881,5,6-1 6-4,2012-01-04 00:00:00
1075,685,8882,5,4-6 7-6(4) 6-0,2012-01-04 00:00:00
6458,9403,8951,4,6-3 6-2,2012-01-04 00:00:00
13607,11406,8951,4,6-4 4-6 7-5,2012-01-04 00:00:00
19812,3233,8951,4,6-4 6-4,2012-01-04 00:00:00
831,553,8879,8,6-3 6-3,2012-01-04 00:00:00
11953,970,8879,8,7-6(5) 6-2,2012-01-04 00:00:00
3492,22,8882,5,w/o,2012-01-04 00:00:00
677,661,8880,5,6-2 6-2,2012-01-04 00:00:00
75,655,8880,5,6-2 6-7(3) 6-3,2012-01-04 00:00:00
19,4149,8880,5,6-2 6-3,2012-01-04 00:00:00
25103,25101,8880,9,6-3 6-3,2012-01-04 00:00:00
25092,15973,8881,4,6-3 4-6 10-7,2012-01-04 00:00:00
1092,1672,8881,5,3-6 6-3 7-5,2012-01-04 00:00:00
17675,7540,8883,1,6-4 6-3,2012-01-07 00:00:00
1113,14891,8883,1,6-2 6-7(4) 6-3,2012-01-07 00:00:00
1053,16994,8883,1,6-4 6-4,2012-01-07 00:00:00
558,3026,8883,1,6-1 1-0 ret.,2012-01-07 00:00:00
8152,7818,8883,1,6-1 7-5,2012-01-07 00:00:00
3694,6431,8883,1,7-5 6-3,2012-01-07 00:00:00
453,712,8883,1,7-6(2) 6-1,2012-01-07 00:00:00
695,578,8883,1,6-4 7-5,2012-01-07 00:00:00
3492,12896,8883,1,7-5 7-6(5),2012-01-07 00:00:00
920,6949,8883,1,4-6 6-4 6-1,2012-01-07 00:00:00
3852,693,8883,1,6-2 1-6 6-4,2012-01-07 00:00:00
11953,9839,8883,1,6-1 6-7(6) 6-2,2012-01-07 00:00:00
869,3639,8884,1,3-6 6-3 6-4,2012-01-07 00:00:00
12043,10844,8884,1,6-3 6-1,2012-01-07 00:00:00
12851,3850,8884,1,6-4 7-6(4),2012-01-07 00:00:00
3996,7461,8884,1,6-3 6-3,2012-01-07 00:00:00
779,1742,8884,1,7-5 6-2,2012-01-07 00:00:00
4078,11923,8884,1,7-5 6-3,2012-01-07 00:00:00
1088,8867,8884,1,3-6 6-2 6-1,2012-01-07 00:00:00
7806,6501,8884,1,6-0 6-2,2012-01-07 00:00:00
22347,20156,8882,10,6-2 7-6(3),2012-01-07 00:00:00
558,1053,8883,2,6-2 6-3,2012-01-07 00:00:00
20561,17965,8884,1,6-4 7-6(7),2012-01-07 00:00:00
642,8298,8884,1,6-4 6-3,2012-01-07 00:00:00
9516,5965,8884,1,6-2 6-7(2) 6-3,2012-01-07 00:00:00
18,5083,8884,1,6-4 6-2,2012-01-07 00:00:00
7452,4010,8882,10,6-3 6-4,2012-01-07 00:00:00
17675,9043,8883,2,6-3 6-1,2012-01-07 00:00:00
3492,920,8883,2,6-1 6-2,2012-01-07 00:00:00
3852,11953,8883,2,3-0 ret.,2012-01-07 00:00:00
804,11881,8884,1,6-4 6-4,2012-01-07 00:00:00
909,13429,8884,1,6-3 6-7(5) 6-0,2012-01-07 00:00:00
5103,14717,8883,1,6-3 6-0,2012-01-07 00:00:00
3685,1716,8883,1,6-4 6-4,2012-01-07 00:00:00
7757,2160,8884,1,6-3 6-4,2012-01-07 00:00:00
1075,11522,8882,10,6-3 6-2,2012-01-07 00:00:00
8152,3694,8883,2,6-2 7-5,2012-01-07 00:00:00
3682,22241,8884,1,3-6 6-3 6-2,2012-01-07 00:00:00
3054,3849,8951,5,6-3 7-6(4),2012-01-06 00:00:00
3054,11005,8951,9,6-2 6-1,2012-01-06 00:00:00
4178,5103,8883,2,6-4 6-1,2012-01-07 00:00:00
1113,3685,8883,2,6-4 6-1,2012-01-07 00:00:00
453,695,8883,2,6-2 5-7 6-4,2012-01-07 00:00:00
7043,3316,8952,12,6-4 6-3,2012-01-07 00:00:00
728,1569,8881,10,6-1 6-4,2012-01-07 00:00:00
11704,4045,8881,10,6-4 6-4,2012-01-07 00:00:00
10231,11940,8951,10,3-6 7-5 7-5,2012-01-07 00:00:00
831,674,8879,12,7-6(0) 6-4,2012-01-07 00:00:00
3985,5917,8880,12,7-5 6-3,2012-01-07 00:00:00
5554,12702,8881,10,4-6 6-3 10-8,2012-01-07 00:00:00
643,3054,8951,10,6-4 6-4,2012-01-07 00:00:00
25092,21065,8881,10,6-2 6-7(1) 10-7,2012-01-07 00:00:00
7757,869,8884,2,6-2 7-5,2012-01-08 00:00:00
12043,20561,8884,2,6-2 6-1,2012-01-08 00:00:00
3682,804,8884,2,5-7 6-3 4-1 ret.,2012-01-08 00:00:00
3996,12851,8884,2,6-3 6-4,2012-01-08 00:00:00
642,779,8884,2,6-4 6-4,2012-01-08 00:00:00
1088,4078,8884,2,7-5 4-6 6-3,2012-01-08 00:00:00
7806,9516,8884,2,6-3 6-4,2012-01-08 00:00:00
909,18,8884,2,6-3 6-4,2012-01-08 00:00:00
22347,19793,8882,12,6-1 6-2,2012-01-08 00:00:00
4178,17675,8883,3,4-6 6-4 6-3,2012-01-08 00:00:00
558,1113,8883,3,6-2 6-2,2012-01-08 00:00:00
1075,7452,8882,12,6-1 6-3,2012-01-08 00:00:00
453,8152,8883,3,4-6 6-3 6-4,2012-01-08 00:00:00
3492,3852,8883,3,6-3 7-6(0),2012-01-08 00:00:00
11704,728,8881,12,6-7(4) 7-6(4) 7-6(4),2012-01-08 00:00:00
25092,5554,8881,12,6-4 6-4,2012-01-08 00:00:00
643,10231,8951,12,7-6(5) 7-6(1),2012-01-08 00:00:00
749,4964,8883,4,7-6(4) 7-5,2012-01-09 00:00:00
12043,7757,8884,3,6-7(6) 6-2 6-2,2012-01-09 00:00:00
1088,642,8884,3,7-5 6-4,2012-01-09 00:00:00
25118,5647,8883,4,7-6(4) 7-6(3),2012-01-09 00:00:00
3996,3682,8884,3,6-3 6-2,2012-01-09 00:00:00
1718,6627,8884,4,4-6 6-3 6-3,2012-01-09 00:00:00
3492,1841,8883,4,6-3 2-6 6-3,2012-01-09 00:00:00
558,11517,8883,4,6-2 6-2,2012-01-09 00:00:00
7806,909,8884,3,6-1 6-0,2012-01-09 00:00:00
25122,11748,8884,4,6-4 2-6 10-4,2012-01-09 00:00:00
7127,1018,8884,4,6-3 7-6(3),2012-01-09 00:00:00
9521,1035,8883,4,6-1 3-6 6-3,2012-01-09 00:00:00
4178,1266,8883,4,7-5 6-3,2012-01-09 00:00:00
5961,10550,8884,4,6-4 6-3,2012-01-09 00:00:00
8152,685,8883,4,3-6 7-6(2) 7-5,2012-01-09 00:00:00
650,468,8883,5,6-3 6-4,2012-01-11 00:00:00
23067,25123,8884,4,6-3 6-2,2012-01-11 00:00:00
673,4146,8884,5,6-4 6-2,2012-01-11 00:00:00
72,7127,8884,5,7-6(6) 5-7 7-6(5),2012-01-11 00:00:00
12043,492,8884,5,5-7 6-2 6-2,2012-01-11 00:00:00
7496,25115,8883,4,7-6(3) 6-3,2012-01-11 00:00:00
638,7295,8883,5,7-6(5) 6-4,2012-01-11 00:00:00
961,7806,8884,5,6-2 6-3,2012-01-11 00:00:00
10828,2034,8885,1,6-0 6-2,2012-01-11 00:00:00
763,8867,8885,1,6-4 6-2,2012-01-11 00:00:00
3992,3742,8885,1,6-4 7-6(2),2012-01-11 00:00:00
5929,712,8885,1,6-3 3-6 6-3,2012-01-11 00:00:00
5127,1823,8885,1,6-0 6-3,2012-01-11 00:00:00
7042,2992,8885,1,6-2 6-0,2012-01-11 00:00:00
6277,1053,8885,1,7-5 7-6(3),2012-01-11 00:00:00
8146,603,8885,1,4-6 6-3 7-5,2012-01-11 00:00:00
13429,1631,8885,1,5-7 7-6(2) 6-2,2012-01-11 00:00:00
6501,6207,8885,1,6-3 6-1,2012-01-11 00:00:00
3833,869,8885,1,4-6 7-6(5) 6-4,2012-01-11 00:00:00
11226,2379,8885,1,4-6 6-0 6-3,2012-01-11 00:00:00
520,3985,8990,4,6-4 6-3,2012-01-11 00:00:00
553,11704,8990,4,6-1 6-2,2012-01-11 00:00:00
11522,831,8990,4,4-6 6-3 6-4,2012-01-11 00:00:00
5917,89,8990,4,7-6(2) 7-6(3),2012-01-11 00:00:00
25119,22347,8883,9,0-6 6-4 10-4,2012-01-11 00:00:00
21674,25121,8884,4,4-6 7-5 10-8,2012-01-11 00:00:00
672,935,8884,5,7-5 7-6(3),2012-01-11 00:00:00
6820,2117,8885,1,6-3 6-2,2012-01-11 00:00:00
3026,11701,8885,1,4-6 6-3 6-2,2012-01-11 00:00:00
9516,13398,8885,1,7-5 6-3,2012-01-11 00:00:00
5904,8946,8885,1,6-3 6-4,2012-01-11 00:00:00
9094,9831,8885,1,3-6 7-6(5) 6-2,2012-01-11 00:00:00
17263,25116,8883,9,6-1 6-2,2012-01-12 00:00:00
25118,11463,8883,9,5-7 6-4 11-9,2012-01-12 00:00:00
23067,25122,8884,9,5-7 6-2 10-5,2012-01-12 00:00:00
678,4045,8884,9,7-6(5) 6-4,2012-01-12 00:00:00
17157,25125,8884,9,6-1 6-4,2012-01-12 00:00:00
1569,7421,8885,1,6-2 6-4,2012-01-12 00:00:00
9153,22431,8885,1,6-1 7-5,2012-01-12 00:00:00
11438,4168,8885,1,6-4 6-4,2012-01-12 00:00:00
717,612,8885,1,7-6(2) 6-3,2012-01-12 00:00:00
9584,8942,8885,1,6-1 6-3,2012-01-12 00:00:00
12851,7869,8885,1,6-0 6-3,2012-01-12 00:00:00
7970,4003,8885,1,7-6(3) 4-6 8-6,2012-01-12 00:00:00
6276,8517,8885,1,4-6 7-6(5) 7-5,2012-01-12 00:00:00
1162,6949,8885,1,6-3 6-4,2012-01-12 00:00:00
6080,10400,8885,1,6-3 7-5,2012-01-12 00:00:00
6831,6002,8885,1,6-2 7-6(5),2012-01-12 00:00:00
1088,3165,8885,1,6-3 6-2,2012-01-12 00:00:00
9373,22434,8885,1,6-7(3) 6-3 6-2,2012-01-12 00:00:00
3492,674,8883,9,6-4 7-6(4),2012-01-12 00:00:00
558,4178,8883,9,6-3 6-3,2012-01-12 00:00:00
4149,661,8885,1,2-6 7-6(5) 8-6,2012-01-12 00:00:00
649,6431,8885,1,6-2 4-6 6-2,2012-01-12 00:00:00
4965,8150,8885,1,4-6 6-2 6-2,2012-01-12 00:00:00
4236,6819,8885,1,3-6 6-3 6-2,2012-01-12 00:00:00
2214,16994,8885,1,7-6(3) 6-1,2012-01-12 00:00:00
7772,7757,8885,1,6-7(2) 7-6(3) 6-1,2012-01-12 00:00:00
9839,10507,8885,1,2-6 7-5 9-7,2012-01-12 00:00:00
4078,7507,8885,1,7-6(3) 6-3,2012-01-12 00:00:00
5103,14814,8885,1,6-1 7-6(6),2012-01-12 00:00:00
7393,9840,8885,1,6-1 6-4,2012-01-12 00:00:00
5150,7496,8883,9,7-6(5) 7-6(7),2012-01-12 00:00:00
72,12043,8884,9,6-3 6-7(5) 7-6(4),2012-01-12 00:00:00
3676,12896,8885,1,4-6 7-6(5) 9-7,2012-01-12 00:00:00
8806,3985,8990,4,1-6 6-4 6-1,2012-01-12 00:00:00
11522,5917,8990,10,6-4 4-6 7-6(2),2012-01-12 00:00:00
4009,6465,8883,9,7-6(7) 6-4,2012-01-12 00:00:00
650,638,8883,9,6-2 6-4,2012-01-12 00:00:00
5150,17263,8883,10,6-4 6-2,2012-01-13 00:00:00
673,1718,8884,9,6-4 4-6 6-3,2012-01-13 00:00:00
672,961,8884,9,7-5 6-4,2012-01-13 00:00:00
21674,22609,8884,9,7-5 7-6(5),2012-01-13 00:00:00
5929,5904,8885,2,6-0 6-0,2012-01-13 00:00:00
469,4208,8885,2,6-1 6-1,2012-01-13 00:00:00
558,3492,8883,10,7-6(12) 6-3,2012-01-13 00:00:00
